RP,RP_Start,RP_End,Months_since_CEA_defined,"CP_Method_CO2e (Eq16, includes Eq16 DPP)",Delta_CP_Method_CO2e,"Issued_ACCUs_CO2e (Delta * issuance_factor, minus RP1 deduction if set)",
1,31/10/2025,30/06/2026,60,46552.475,46552.475,22093.35625,
2,31/10/2026,30/06/2027,72,55743.614,9191.139,6893.35425,
3,31/10/2027,30/06/2028,84,64934.753,9191.139,6893.35425,
4,31/10/2028,30/06/2029,96,74125.892,9191.139,6893.35425,
5,31/10/2029,30/06/2030,108,83317.031,9191.139,6893.35425,
6,31/10/2030,30/06/2031,120,92508.17,9191.139,6893.35425,
7,31/10/2031,30/06/2032,132,101699.309,9191.139,6893.35425,
8,31/10/2032,30/06/2033,144,110890.448,9191.139,6893.35425,
9,31/10/2033,30/06/2034,156,120081.587,9191.139,6893.35425,
10,31/10/2034,30/06/2035,168,129272.726,9191.139,6893.35425,
11,31/10/2035,30/06/2036,180,138463.865,9191.139,6893.35425,
12,31/10/2036,30/06/2037,192,138463.865,0,0,91026.89875
13,31/10/2037,30/06/2038,204,138463.865,0,0,
14,31/10/2038,30/06/2039,216,138463.865,0,0,
15,31/10/2039,30/06/2040,228,138463.865,0,0,
16,31/10/2040,30/06/2041,240,138463.865,0,0,
17,31/10/2041,30/06/2042,252,138463.865,0,0,
18,31/10/2042,30/06/2043,264,138463.865,0,0,
19,31/10/2043,30/06/2044,276,138463.865,0,0,
20,31/10/2044,30/06/2045,288,138463.865,0,0,
21,31/10/2045,30/06/2046,300,138463.865,0,0,
